Geneid,Chr,Start,End,Strand,Length,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06
LOC105369701,NC_000012.12,25342604,25342694,-,431,0,0,0,0,0,0,0,2,0,0,0,0,0
LOC105369704,NC_000012.12,26273329,26273492,-,361,2,4,2,6,0,1,0,12,2,0,3,1,0
LOC105369705,NC_000012.12,26252872,26252920,+,1882,9,6,16,15,3,5,2,41,13,11,13,7,2
LOC105369709,NC_000012.12,27811315,27811401,-,332,0,0,0,4,0,0,0,0,0,0,0,0,0
LOC105369710,NC_000012.12,28062697,28063887,-,12510,0,0,2,2,4,3,2,8,2,0,2,6,1
LOC105369711,NC_000012.12,28713133,28715487,-,5486,3,8,0,8,0,0,0,5,0,0,2,0,0
LOC105369714,NC_000012.12,29519731,29519820,+,640,6,0,6,3,14,7,5,0,12,10,0,2,4
LOC105369715,NC_000012.12,29868738,29868878,-,866,0,0,0,3,0,0,1,0,0,0,0,0,0
LOC105369716,NC_000012.12,29873497,29873662,+,425,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC105369718,NC_000012.12,30315495,30316266,-,1441,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC105369719,NC_000012.12,30562965,30564139,-,5902,0,8,4,15,8,11,8,8,6,5,8,6,12
LOC105369722,NC_000012.12,31723789,31723917,+,435,6,7,2,5,4,11,0,4,7,13,5,1,1
LOC105369724,NC_000012.12,31749133,31749438,-,1197,0,0,2,6,2,0,0,0,0,1,0,2,0
LOC105369725,NC_000012.12,31958493,31958804,-,489,4,7,5,1,7,3,2,2,2,0,4,2,0
LOC105369726,NC_000012.12,33685957,33686070,+,424,0,0,2,0,0,0,2,0,2,0,0,0,0
LOC105369728,NC_000012.12,9647013,9647376,-,512,0,0,1,2,0,2,2,1,0,0,0,0,2
LOC105369735,NC_000012.12,40207044,40207256,+,1984,2,0,0,5,0,0,0,0,0,0,0,0,0
LOC105369736,NC_000012.12,40354752,40354827,-,735,2,3,2,1,57,139,218,11,8,41,3,66,196
LOC105369742,NC_000012.12,45035043,45035245,+,461,0,0,0,0,0,0,2,0,0,0,0,0,0
LOC105369743,NC_000012.12,45390692,45390768,-,1746,11,21,7,13,12,7,11,11,11,8,12,0,10
LOC105369744,NC_000012.12,45595826,45595922,-,326,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC105369745,NC_000012.12,45825900,45826033,-,423,57,57,37,22,54,63,51,38,40,50,42,59,45
LOC105369746,NC_000012.12,47237671,47238290,-,879,3,4,0,6,5,2,2,7,0,2,2,2,0
LOC105369747,NC_000012.12,47305917,47306680,-,845,0,0,1,4,11,1,0,0,0,0,0,0,2
LOC105369750,NC_000012.12,48014103,48014190,+,3527,3,2,0,0,0,0,3,0,2,2,0,0,2
LOC105369752,NC_000012.12,47980647,47980739,+,357,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369753,NC_000012.12,48279006,48279451,-,820,0,0,0,2,2,0,0,0,0,0,0,0,0
LOC105369755,NC_000012.12,48851721,48851814,+,594,6,5,9,1,2,6,3,4,0,6,0,2,7
LOC105369756,NC_000012.12,48987781,48987862,+,598,0,0,0,3,0,0,0,0,0,0,0,0,0
LOC105369757,NC_000012.12,48982357,48982588,-,1636,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369759,NC_000012.12,49092080,49092172,+,942,1,4,0,6,3,0,3,2,4,6,0,2,6
LOC105369761,NC_000012.12,49550281,49550857,-,1587,6,16,7,12,4,11,0,5,4,0,6,0,3
LOC105369763,NC_000012.12,49943245,49943331,+,3370,187,191,147,107,90,133,107,197,265,155,424,177,209
LOC105369764,NC_000012.12,49964502,49964919,-,1069,16,36,45,52,45,41,53,88,43,53,101,62,122
LOC105369767,NC_000012.12,51322368,51323203,-,1117,0,8,1,7,24,11,15,9,0,17,15,7,9
LOC105369774,NC_000012.12,53726579,53726649,+,1023,0,0,0,2,0,0,0,0,0,2,0,0,0
LOC105369775,NC_000012.12,53953385,53954279,-,1058,2,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369777,NC_000012.12,54189097,54189202,+,2240,4,0,0,5,0,0,0,0,0,0,0,0,3
LOC105369781,NC_000012.12,56010092,56010271,-,383,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369782,NC_000012.12,56103814,56103918,-,237,4,7,6,3,1,3,6,6,6,2,0,2,3
LOC105369783,NC_000012.12,57837091,57837214,+,1627,117,177,144,102,92,111,65,165,72,156,178,85,150
LOC105369784,NC_000012.12,58081208,58081433,-,749,6,4,0,4,6,1,4,5,6,6,10,2,0
LOC105369784_1,NW_003315939.2,1820,1901,+,535,0,0,0,0,0,0,0,0,1,0,0,0,1
LOC105369786,NC_000012.12,58176536,58176655,-,357,7,11,2,11,3,8,0,25,16,7,18,10,5
LOC105369787,NC_000012.12,58328381,58330494,-,2304,0,1,3,4,0,0,0,2,12,1,14,6,3
LOC105369788,NC_000012.12,58444557,58444629,+,1308,2,8,0,4,0,2,4,4,5,7,19,9,7
LOC105369789,NC_000012.12,58551089,58551162,-,739,1,6,0,14,2,2,4,29,10,7,9,12,4
LOC105369793,NC_000012.12,61663447,61669165,-,9276,11,4,5,13,8,2,16,3,4,4,2,7,4
LOC105369795,NC_000012.12,62840374,62840619,+,5428,54,41,57,46,200,272,333,90,89,62,73,146,114
LOC105369797,NC_000012.12,63545475,63545620,-,358,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC105369798,NC_000012.12,64099420,64099643,-,783,68,67,42,53,21,38,14,31,44,21,54,23,30
LOC105369801,NC_000012.12,63995705,63995785,-,641,78,81,63,55,41,49,69,54,79,37,73,43,50
LOC105369803,NC_000012.12,64506116,64507475,-,2513,0,2,0,0,3,0,0,0,2,2,0,0,1
LOC105369806,NC_000012.12,65622296,65622365,+,675,0,0,0,0,0,0,0,0,2,0,0,0,0
LOC105369808,NC_000012.12,65556912,65557130,+,1597,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC105369809,NC_000012.12,65474460,65475509,+,1294,0,0,6,11,4,2,2,0,0,0,2,0,2
LOC105369811,NC_000012.12,66357138,66362588,+,5635,69,59,37,76,73,80,63,82,58,57,41,43,137
LOC105369812,NC_000012.12,67394384,67394882,+,6530,3,0,0,8,20,2,2,2,2,0,7,2,2
LOC105369813,NC_000012.12,67380981,67381069,-,219,0,1,0,1,2,0,0,0,0,0,2,0,0
LOC105369816,NC_000012.12,67670920,67678748,+,11972,53,107,50,81,122,146,65,111,44,74,55,75,54
LOC105369818,NC_000012.12,68182905,68185944,+,7453,11,36,14,30,24,73,76,20,47,63,33,93,20
LOC105369819,NC_000012.12,68332631,68335814,+,3584,2,8,0,11,10,8,13,16,10,6,6,9,0
LOC105369823,NC_000012.12,69624583,69624594,+,847,0,0,0,0,4,2,2,0,0,0,1,0,0
LOC105369828,NC_000012.12,70468079,70468327,+,17568,60,74,55,41,239,131,41,60,79,72,61,80,58
LOC105369831,NC_000012.12,71216834,71217110,+,924,0,0,0,0,1,0,0,0,0,0,0,0,0
LOC105369832,NC_000012.12,71277352,71277412,-,403,3,0,0,0,0,0,0,0,0,0,0,1,2
LOC105369833,NC_000012.12,71527408,71527475,-,266,0,0,0,2,0,4,0,0,0,0,0,0,0
LOC105369838,NC_000012.12,72919910,72919987,+,899,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369839,NC_000012.12,73308188,73308316,-,396,0,0,0,0,0,2,0,0,0,0,0,0,0
LOC105369842,NC_000012.12,74847424,74847524,+,6507,2,0,0,4,0,0,2,0,0,0,0,0,0
LOC105369843,NC_000012.12,75016188,75016368,-,762,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC105369844,NC_000012.12,75524261,75524440,-,7194,189,465,109,88,72,72,96,1272,1055,703,966,602,871
LOC105369846,NC_000012.12,75772692,75773962,-,3737,54,127,29,38,14,27,22,395,382,235,351,127,246
LOC105369847,NC_000012.12,76002372,76002597,-,737,0,6,0,0,0,0,0,7,7,5,13,17,8
LOC105369850,NC_000012.12,76559902,76560233,+,2033,9,8,19,6,20,10,15,10,18,12,8,20,4
LOC105369851,NC_000012.12,76636119,76636649,-,702,0,0,0,10,0,5,2,4,3,0,0,2,0
LOC105369853,NC_000012.12,77122407,77122622,+,727,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC105369859,NC_000012.12,78335569,78335677,+,424,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369863,NC_000012.12,78905024,78905156,-,34276,10,15,18,52,72,108,34,37,10,25,18,42,18
LOC105369867,NC_000012.12,80530574,80532578,-,2420,3,5,2,4,0,2,0,0,0,0,2,0,0
LOC105369872,NC_000012.12,81344078,81344225,+,433,0,2,6,0,0,0,0,0,2,0,2,0,0
LOC105369873,NC_000012.12,82134895,82135494,-,2381,2,6,0,2,1,1,4,0,0,2,1,0,1
LOC105369874,NC_000012.12,83457724,83458952,-,1402,0,0,0,2,0,0,2,0,0,0,0,0,0
LOC105369875,NC_000012.12,84492397,84492929,-,730,0,2,0,0,0,0,0,0,0,2,0,2,0
LOC105369877,NC_000012.12,86262013,86267348,+,7110,6,8,4,12,2,0,8,6,4,0,2,4,2
LOC105369878,NC_000012.12,87041916,87042419,-,1131,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369878_1,NW_015148967.1,273538,274041,-,989,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369879,NC_000012.12,87330739,87331065,+,719,2,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369880,NC_000012.12,87429152,87429420,+,685,2,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369881,NC_000012.12,87612217,87612895,-,1223,0,0,0,1,0,0,0,0,0,0,0,2,0
LOC105369885,NC_000012.12,88580536,88580610,+,625,9,11,6,9,11,14,8,13,16,10,20,11,2
LOC105369886,NC_000012.12,88749453,88749524,-,348,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369887,NC_000012.12,88782021,88782306,-,566,0,0,0,4,0,0,0,0,0,0,2,0,0
LOC105369889,NC_000012.12,89427782,89428031,+,628,27,22,18,18,71,96,62,28,24,35,22,24,24
LOC105369890,NC_000012.12,89920142,89920238,+,6109,6,1,4,11,2,4,11,6,4,7,9,6,6
LOC105369892,NC_000012.12,90253825,90253980,+,367,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369895,NC_000012.12,90762144,90762208,-,335,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369896,NC_000012.12,91276225,91276835,-,6473,0,4,0,10,4,0,2,0,2,0,2,1,0
LOC105369901,NC_000012.12,91916294,91919597,-,4275,4,2,2,16,0,0,0,1,4,11,13,0,1
LOC105369902,NC_000012.12,92349345,92349407,+,358,0,0,0,1,0,2,0,0,0,0,0,4,0
LOC105369904,NC_000012.12,92505638,92506163,+,3174,0,4,3,9,0,0,0,2,0,0,0,2,2
LOC105369905,NC_000012.12,92557284,92557598,+,2275,6,1,0,5,1,2,0,0,0,0,0,0,0
LOC105369908,NC_000012.12,93090480,93090628,+,2865,18,1,7,3,9,2,4,3,13,2,13,10,1
LOC105369911,NC_000012.12,93894965,93895365,-,543,13,17,10,12,19,10,9,24,6,9,21,10,18
LOC105369912,NC_000012.12,93969676,93969849,-,335,0,2,6,1,0,0,0,0,2,4,0,0,0
LOC105369913,NC_000012.12,94038509,94042328,+,4371,14,3,20,28,3,0,1,7,10,7,9,6,8
LOC105369914,NC_000012.12,94646438,94649603,+,3264,29,61,22,31,83,37,44,48,28,58,21,20,19
LOC105369915,NC_000012.12,94897092,94897310,-,733,2,6,2,1,0,2,6,2,2,2,2,2,2
LOC105369917,NC_000012.12,95337570,95337658,-,1630,0,4,0,7,0,0,0,0,0,0,0,0,0
LOC105369919,NC_000012.12,95713351,95718695,-,15443,202,237,162,243,265,213,265,118,65,100,63,89,307
LOC105369923,NC_000012.12,96096043,96096332,+,977,0,4,0,0,2,0,0,0,0,0,0,0,2
LOC105369927,NC_000012.12,97194033,97194121,-,1718,0,0,0,9,0,1,0,0,0,0,2,1,0
LOC105369928,NC_000012.12,97185080,97185357,+,6229,3,8,2,8,2,9,2,10,0,4,10,6,3
LOC105369930,NC_000012.12,97269801,97270105,+,641,0,0,0,1,0,0,1,0,0,2,0,0,0
LOC105369932,NC_000012.12,98295041,98295112,+,638,0,0,0,2,0,0,2,0,0,2,2,1,1
LOC105369933,NC_000012.12,98337659,98338446,-,1375,1,0,0,6,4,0,0,2,4,5,10,2,5
LOC105369935,NC_000012.12,101526370,101526441,+,545,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC105369937,NC_000012.12,101646720,101647028,-,365,0,0,0,0,0,0,0,2,0,0,0,0,0
LOC105369938,NC_000012.12,101598554,101599555,-,1915,3,17,11,6,53,31,42,89,69,87,49,41,118
LOC105369945,NC_000012.12,103496040,103496252,+,369,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC105369946,NC_000012.12,103667206,103668847,-,1925,0,0,2,2,0,0,2,0,0,0,0,0,0
LOC105369947,NC_000012.12,104140231,104140698,+,687,0,0,0,0,0,0,0,2,0,0,0,0,0
LOC105369949,NC_000012.12,104377119,104377743,+,11559,14,21,9,22,19,26,21,11,11,8,8,12,0
LOC105369952,NC_000012.12,104984196,104984423,-,296,0,2,0,0,0,0,0,0,0,0,0,0,0
LOC105369955,NC_000012.12,105426622,105426973,+,1155,0,3,2,9,6,0,2,0,0,0,0,0,0
LOC105369956,NC_000012.12,105426325,105426763,-,933,0,0,0,3,0,0,1,1,0,0,0,0,0
LOC105369957,NC_000012.12,105372114,105372467,+,13599,22,31,17,63,46,20,19,31,6,12,37,41,38
LOC105369958,NC_000012.12,105489702,105492429,+,5248,8,8,0,12,58,0,4,7,6,8,2,14,6
LOC105369959,NC_000012.12,105705116,105705566,-,601,0,0,0,1,2,1,0,2,2,0,0,0,0
LOC105369960,NC_000012.12,105783923,105784110,+,690,0,2,0,3,4,2,0,0,0,0,0,0,0
LOC105369961,NC_000012.12,106869008,106869256,-,369,4,4,10,13,15,20,12,4,7,6,3,3,14
LOC105369963,NC_000012.12,107794501,107794600,-,592,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369964,NC_000012.12,107912745,107912798,+,2099,0,0,0,2,0,0,2,0,0,0,0,0,0
LOC105369965,NC_000012.12,108182500,108182580,-,540,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC105369968,NC_000012.12,108628646,108628749,+,12439,101,185,87,143,556,522,326,400,382,220,143,71,121
LOC105369969,NC_000012.12,108733409,108733452,+,441,3,3,0,0,0,0,0,2,0,0,0,2,0
LOC105369974,NC_000012.12,109118654,109118784,-,3782,154,285,246,150,126,192,88,252,221,222,190,179,93
LOC105369975,NC_000012.12,109840327,109841084,-,909,6,2,2,4,3,0,0,0,0,6,0,0,2
LOC105369976,NC_000012.12,110082697,110082813,-,549,0,0,0,2,0,0,0,0,0,0,0,0,2
LOC105369981,NC_000012.12,111012394,111012564,-,484,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369983,NC_000012.12,111285229,111285413,-,680,0,0,0,4,4,0,0,0,0,0,0,0,0
LOC105369989,NC_000012.12,113353457,113353495,-,314,0,7,4,9,4,7,6,3,8,4,5,2,9
LOC105369990,NC_000012.12,113639043,113639423,+,1063,4,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369991,NC_000012.12,113653635,113653963,+,631,2,0,0,2,0,0,0,0,0,0,0,0,0
LOC105369993,NC_000012.12,114011065,114012345,+,4365,2,0,0,8,2,0,0,0,0,0,0,0,0
LOC105369994,NC_000012.12,114073201,114073675,-,2338,0,0,0,3,0,0,0,0,0,0,0,0,0
LOC105369995,NC_000012.12,114077118,114077357,+,1466,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC105369998,NC_000012.12,114414357,114414567,-,1154,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369999,NC_000012.12,114733755,114733960,-,295,0,4,0,0,0,0,0,2,0,0,0,0,0
LOC105370002,NC_000012.12,115581544,115582176,-,1368,4,17,0,11,8,20,11,14,12,17,27,15,17
LOC105370003,NC_000012.12,115373511,115373887,-,1343,25,4,8,31,8,16,21,38,55,21,28,19,17
LOC105370005,NC_000012.12,116340296,116340370,-,290,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370007,NC_000012.12,116484398,116484653,-,3042,2,0,2,6,0,0,2,2,0,0,0,0,0
LOC105370008,NC_000012.12,116505009,116505132,-,791,0,2,0,2,3,0,2,0,0,0,0,0,0
LOC105370010,NC_000012.12,117105904,117107193,-,1823,8,22,16,5,2,6,5,6,12,0,8,4,9
LOC105370011,NC_000012.12,117832766,117832849,+,302,0,0,0,2,0,0,0,0,0,0,0,0,1
LOC105370012,NC_000012.12,117513553,117513622,+,347,1,1,0,6,0,0,2,3,0,2,2,2,0
LOC105370017,NC_000012.12,118781040,118781137,+,431,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370018,NC_000012.12,118837489,118837590,+,1623,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC105370019,NC_000012.12,118871454,118871499,+,930,0,0,0,2,0,0,1,1,0,0,0,0,0
LOC105370020,NC_000012.12,118945771,118946864,-,1828,2,0,0,0,0,0,1,0,0,0,0,0,0
LOC105370021,NC_000012.12,119110877,119110963,-,234,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370022,NC_000012.12,119031038,119031322,-,656,0,0,0,4,0,0,0,0,0,0,0,0,0
LOC105370024,NC_000012.12,119174065,119174563,-,577,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370025,NC_000012.12,119224049,119226608,-,2779,1,0,0,6,0,0,0,0,0,4,0,0,1
LOC105370026,NC_000012.12,119210685,119211059,+,858,0,1,0,0,0,0,0,0,0,0,0,8,0
LOC105370027,NC_000012.12,119387987,119388267,-,1528,2,2,0,5,2,13,8,8,2,1,5,0,6
LOC105370029,NC_000012.12,120676176,120676394,-,625,0,6,0,0,2,2,8,2,2,3,10,0,2
LOC105370030,NC_000012.12,121110911,121110998,+,706,0,1,0,2,0,0,0,2,0,1,0,2,6
LOC105370031,NC_000012.12,121100690,121100729,-,2467,6,0,3,0,0,0,0,0,1,1,0,0,0
LOC105370032,NC_000012.12,121125432,121125652,-,1205,24,23,11,4,2,2,0,6,12,19,22,15,3
LOC105370034,NC_000012.12,121664090,121664321,+,1410,0,0,0,4,4,3,0,7,0,4,0,0,6
LOC105370041,NC_000012.12,123613121,123613965,-,1559,8,7,13,14,32,18,28,19,20,30,24,18,30
LOC105370042,NC_000012.12,123712766,123714734,-,2114,28,30,53,32,50,48,82,29,22,45,33,24,38
LOC105370044,NC_000012.12,123765168,123765248,-,576,0,0,1,2,0,1,6,0,0,0,0,0,0
LOC105370047,NC_000012.12,124513222,124513697,+,911,94,76,53,94,67,78,33,95,51,55,61,47,78
LOC105370050,NC_000012.12,124864062,124865604,+,1710,6,4,4,4,2,15,0,8,1,2,6,3,8
LOC105370052,NC_000012.12,125061275,125061309,-,1525,14,25,13,46,26,32,24,34,17,37,21,18,17
LOC105370053,NC_000012.12,125151338,125151821,+,1196,1,2,0,0,0,0,0,2,0,0,0,0,0
LOC105370054,NC_000012.12,125272896,125272975,-,311,4,8,3,1,0,0,2,1,3,2,2,2,1
LOC105370055,NC_000012.12,125704501,125704615,+,511,2,9,0,2,0,0,0,2,1,4,2,6,0
LOC105370056,NC_000012.12,126014385,126016221,-,2127,0,0,5,6,2,0,0,6,11,0,8,0,0
LOC105370058,NC_000012.12,125994250,125994977,-,835,1,6,2,4,6,3,4,8,13,0,7,2,0
LOC105370061,NC_000012.12,126874804,126874980,+,623,0,0,0,5,0,0,0,0,0,0,0,0,0
LOC105370062,NC_000012.12,127149955,127150616,-,1573,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370062_1,NW_019805499.1,109063,110428,-,1937,0,0,0,3,0,0,2,0,0,0,0,0,0
LOC105370063,NC_000012.12,126976861,126976926,+,1848,0,0,0,1,0,0,0,0,0,0,1,0,4
LOC105370064,NC_000012.12,127184125,127184354,-,494,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC105370066,NC_000012.12,127459948,127460995,+,1454,0,0,0,0,0,0,0,0,0,4,0,0,0
LOC105370067,NC_000012.12,127484528,127487146,+,4471,2,0,0,11,0,0,0,0,0,0,0,0,0
LOC105370068,NC_000012.12,127648896,127649114,-,442,0,0,0,2,0,0,0,0,0,0,0,0,2
LOC105370069,NC_000012.12,127719093,127719287,-,604,2,0,0,2,2,0,0,0,0,0,0,0,0
LOC105370071,NC_000012.12,128072254,128072683,-,941,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370073,NC_000012.12,129021693,129021949,+,688,0,0,0,5,0,0,0,0,0,0,0,0,0
LOC105370074,NC_000012.12,129458405,129460760,+,3156,0,0,0,7,0,0,2,0,0,0,0,0,0
LOC105370076,NC_000012.12,129957583,129957867,+,1533,1,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370077,NC_000012.12,130067243,130067347,-,2529,1,0,0,4,0,0,0,0,0,0,0,0,4
LOC105370080,NC_000012.12,130756967,130757418,+,2012,1,0,0,5,0,0,0,0,0,0,0,0,0
LOC105370082,NC_000012.12,131225199,131238238,-,14089,4,0,0,4,3,2,6,0,0,0,2,0,4
LOC105370084,NC_000012.12,131583582,131583659,-,809,3,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370086,NC_000012.12,131659473,131659924,-,1338,0,0,0,0,2,0,0,0,0,0,0,0,0
LOC105370087,NC_000012.12,131677708,131677852,+,2988,0,0,0,4,0,0,0,0,0,0,0,0,1
LOC105370088,NC_000012.12,131817258,131817824,-,1230,6,0,4,4,0,2,0,2,6,8,17,0,0
LOC105370091,NC_000012.12,132199263,132199952,+,4101,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370091_1,NW_021160007.1,106292,106981,+,4101,0,4,0,0,0,0,0,0,4,2,0,0,0
LOC105370092,NC_000012.12,132424507,132436211,-,12260,6,18,8,8,1,2,7,12,0,0,2,1,10
LOC105370094,NC_000012.12,132595853,132595974,+,2070,3,0,2,2,2,0,0,3,0,2,5,0,0
LOC105370101,NC_000013.11,20105328,20105841,-,770,0,4,0,2,0,0,4,0,0,0,0,0,0
LOC105370102,NC_000013.11,20295688,20295793,+,1057,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC105370103,NC_000013.11,20551634,20552249,-,2201,0,0,0,6,0,0,0,0,0,2,1,4,2
LOC105370104,NC_000013.11,21067532,21067597,+,1078,2,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370105,NC_000013.11,21260013,21260089,+,450,0,0,0,2,0,0,0,0,0,0,0,1,0
LOC105370108,NC_000013.11,22040971,22041384,+,45024,21,6,7,48,12,17,52,55,8,35,4,10,49
LOC105370109,NC_000013.11,22884187,22884295,+,467,0,3,1,2,4,0,0,2,2,2,4,4,1
LOC105370111,NC_000013.11,22975690,22976060,-,761,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370112,NC_000013.11,23114750,23114983,-,876,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC105370113,NC_000013.11,23728627,23729277,+,1501,6,12,13,14,12,32,31,11,8,6,13,17,6
LOC105370115,NC_000013.11,23954452,23954613,+,1455,2,0,0,6,0,6,0,0,0,0,0,0,0
LOC105370117,NC_000013.11,24503155,24503286,+,1232,11,22,8,15,16,14,3,6,6,10,9,17,10
LOC105370118,NC_000013.11,24723116,24723496,-,1471,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370119,NC_000013.11,25034502,25040473,-,8043,2,0,0,4,0,0,2,2,0,0,0,0,0
LOC105370120,NC_000013.11,25117219,25117297,+,1780,0,0,0,0,0,1,0,0,0,0,0,0,0
LOC105370121,NC_000013.11,25227158,25228581,-,3679,8,10,20,20,8,3,8,15,4,18,8,11,18
LOC105370122,NC_000013.11,25975580,25975749,-,349,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC105370124,NC_000013.11,27045746,27046767,-,7676,48,65,43,44,47,30,8,52,30,31,72,63,61
LOC105370126,NC_000013.11,27366912,27368164,-,1819,0,2,0,10,0,0,2,0,0,0,0,0,0
LOC105370129,NC_000013.11,27738704,27738767,+,283,0,1,0,0,0,0,0,0,0,0,0,0,0
LOC105370130,NC_000013.11,27901874,27901926,+,242,0,0,0,2,0,0,1,0,0,0,0,0,0
LOC105370132,NC_000013.11,27980155,27980254,+,892,0,0,0,1,2,0,0,0,0,0,0,0,2
LOC105370135,NC_000013.11,28575012,28575134,+,2161,0,0,0,0,4,0,0,1,0,0,0,0,0
LOC105370139,NC_000013.11,29695000,29695402,+,901,2,0,0,4,0,0,0,0,0,0,0,0,0
LOC105370145,NC_000013.11,30973283,30973481,-,360,0,0,0,1,0,0,0,1,0,0,0,0,0
LOC105370148,NC_000013.11,31162660,31164097,+,2380,4,10,2,4,2,2,7,0,2,1,0,7,12
LOC105370150,NC_000013.11,31419989,31420070,+,951,0,2,0,6,0,0,0,0,0,0,0,0,0
LOC105370152,NC_000013.11,31796375,31797492,-,1440,2,0,0,2,0,0,0,0,0,0,0,2,4
LOC105370156,NC_000013.11,33983989,33984063,-,623,1,3,0,0,0,4,2,0,4,1,0,0,0
LOC105370159,NC_000013.11,34670427,34671162,-,1109,4,0,0,9,0,0,2,0,0,0,0,0,0
LOC105370161,NC_000013.11,35691354,35691559,-,588,0,0,0,1,0,0,2,0,0,0,0,0,0
LOC105370163,NC_000013.11,35858065,35858146,+,2309,6,5,5,19,27,13,0,8,2,9,4,4,8
LOC105370167,NC_000013.11,38567084,38567451,-,457,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370168,NC_000013.11,39209081,39216491,-,10761,14,7,20,34,64,24,10,12,20,17,16,11,14
LOC105370169,NC_000013.11,39053072,39053328,+,3522,2,4,4,5,2,4,6,10,8,4,9,10,12
LOC105370170,NC_000013.11,39505306,39505723,+,660,21,25,28,39,27,20,13,24,16,23,19,26,32
LOC105370171,NC_000013.11,40063569,40063650,+,541,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC105370173,NC_000013.11,41296183,41296223,+,1292,5,2,10,8,3,16,7,6,1,0,3,4,8
LOC105370174,NC_000013.11,41517168,41517291,+,1743,422,374,305,307,41,108,52,156,162,86,68,13,21
LOC105370175,NC_000013.11,41546886,41547160,-,593,78,75,65,69,5,24,8,41,26,12,6,0,0
LOC105370176,NC_000013.11,41974839,41974915,-,319,0,0,0,0,4,0,0,0,0,0,0,0,0
LOC105370178,NC_000013.11,42958133,42958197,+,258,4,4,0,4,0,3,1,5,2,0,9,3,4
LOC105370179,NC_000013.11,43002880,43002978,+,362,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370182,NC_000013.11,43986578,43986620,-,1619,6,2,0,6,0,2,2,16,2,2,4,4,3
LOC105370185,NC_000013.11,44684487,44684856,-,749,0,0,4,1,1,4,0,0,4,0,0,0,1
LOC105370187,NC_000013.11,44840819,44841233,-,1622,2,8,0,4,0,1,0,7,1,2,1,3,7
LOC105370188,NC_000013.11,45046166,45046465,-,521,0,0,2,6,0,0,0,0,1,0,0,0,0
LOC105370190,NC_000013.11,45224855,45224942,-,2226,33,24,35,31,61,32,34,27,44,26,23,24,18
LOC105370191,NC_000013.11,45930676,45930789,+,503,0,2,0,2,0,0,0,0,0,0,0,0,0
LOC105370192,NC_000013.11,46188932,46189017,+,463,15,8,2,2,4,1,1,4,5,5,7,0,6
LOC105370194,NC_000013.11,46274701,46276712,-,2343,0,2,0,3,0,0,2,2,0,2,0,0,0
LOC105370195,NC_000013.11,47266126,47266645,+,680,0,0,0,2,0,0,0,0,0,0,0,0,0
