Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM,adult_SL_01,adult_SL_02,adult_SL_03
LOC105375445,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375446,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375448,NA,human-specific,NA,NA,NA,NA,NA,0.012650116226504101,0,0,0.0379503486795123
LOC105375450,NA,human-specific,NA,NA,NA,NA,NA,0.014851951053028466,0.0445558531590854,0,0
LOC105375451,NA,human-specific,NA,NA,NA,NA,NA,0.03369565195328066,0,0.0785257053097366,0.0225612505501054
LOC105375452,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375456,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375457,NA,human-specific,NA,NA,NA,NA,NA,0.1781120087710413,0.221125975542103,0.210150387548974,0.103059663222047
LOC105375461,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375462,NA,human-specific,NA,NA,NA,NA,NA,0.04669811542740334,0,0,0.14009434628221001
LOC105375463,NA,human-specific,NA,NA,NA,NA,NA,0.08566636958443509,0.212071902896933,0,0.0449272058563723
LOC105375465,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375466,NA,human-specific,NA,NA,NA,NA,NA,0.08946034366683366,0.268381031000501,0,0
LOC105375467,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375468,NA,human-specific,NA,NA,NA,NA,NA,0.214906615049273,0.644719845147819,0,0
LOC105375469,NA,human-specific,NA,NA,NA,NA,NA,0.550183339369423,0.861786325674974,0.423626669292393,0.365137023140902
LOC105375470,NA,human-specific,NA,NA,NA,NA,NA,0.039083720188787266,0,0.091082276674991,0.0261688838913708
LOC105375471,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375472,NA,human-specific,NA,NA,NA,NA,NA,0.013735721808684072,0.0129658880148175,0.0254944678999555,0.00274680951127922
LOC105375473,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375477,NA,human-specific,NA,NA,NA,NA,NA,0.048766622553717665,0,0,0.146299867661153
LOC105375478,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375481,NA,human-specific,NA,NA,NA,NA,NA,5.523915059310856,8.47842816585401,5.39909810088046,2.6942189111981
LOC105375482,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375483,NA,human-specific,NA,NA,NA,NA,NA,0.024210714299019567,0,0.0726321428970587,0
LOC105375484,NA,human-specific,NA,NA,NA,NA,NA,0.21562061678896152,0.0791761213339427,0.467045469192167,0.100640259840775
LOC105375487,NA,human-specific,NA,NA,NA,NA,NA,0.09579739453316599,0,0.287392183599498,0
LOC105375488,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375489,NA,human-specific,NA,NA,NA,NA,NA,0.8509312269521919,1.33286641561648,0.655194615459996,0.5647326497801
LOC105375490,NA,human-specific,NA,NA,NA,NA,NA,0.793108551545799,0.842529293674947,1.12224142692419,0.41455493403826
LOC105375493,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375497,NA,human-specific,NA,NA,NA,NA,NA,0.159581382645273,0,0.356003831035414,0.122740316900405
LOC105375500,NA,human-specific,NA,NA,NA,NA,NA,2.2637197062637466,2.8027155800753,2.37799209855768,1.61045144015826
LOC105375501,NA,human-specific,NA,NA,NA,NA,NA,0.020763967287976866,0,0.0622919018639306,0
LOC105375503,NA,human-specific,NA,NA,NA,NA,NA,0.037037424992316534,0.0458421488397006,0.0507027108194784,0.0145674153177706
LOC105375504,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375505,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375508,NA,human-specific,NA,NA,NA,NA,NA,0.11054415009,0.076303690345717,0.147148575078667,0.108180184845616
LOC105375509,NA,human-specific,NA,NA,NA,NA,NA,0.11522785090892233,0.11892890347387,0,0.226754649252897
LOC105375511,NA,human-specific,NA,NA,NA,NA,NA,0.20237292944940766,0.371202335085108,0,0.235916453263115
LOC105375512,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375514,NA,human-specific,NA,NA,NA,NA,NA,2.032256452339707,2.29780488147767,2.56772779821063,1.23123667733082
LOC105375517,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375518,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375520,NA,human-specific,NA,NA,NA,NA,NA,0.14831104860226793,0.159304492880467,0.0618229005494178,0.223805752376919
LOC105375521,NA,human-specific,NA,NA,NA,NA,NA,0.8502848080572495,1.72963658702961,0.578356968519689,0.24286086862245
LOC105375522,NA,human-specific,NA,NA,NA,NA,NA,0.108062683559748,0.324188050679244,0,0
LOC105375523,NA,human-specific,NA,NA,NA,NA,NA,0.12264950903549032,0.159501003356882,0.18817345354729,0.020274070202299
LOC105375524,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375525,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375527,NA,human-specific,NA,NA,NA,NA,NA,0.612321082739204,0.487896099030782,1.34906714918683,0
LOC105375530,NA,human-specific,NA,NA,NA,NA,NA,3.1473104528339797,4.08322568593619,3.01077525675665,2.3479304158091
LOC105375532,NA,human-specific,NA,NA,NA,NA,NA,0.6309188958980537,1.27930782879441,0.477938861128268,0.135509997771483
LOC105375534,NA,human-specific,NA,NA,NA,NA,NA,0.23425296521055636,0.225949247443109,0.333208328811012,0.143601319377548
LOC105375535,NA,human-specific,NA,NA,NA,NA,NA,0.12981155868125924,0,0.302518087999472,0.0869165880443057
LOC105375536,NA,human-specific,NA,NA,NA,NA,NA,0.1256366490162457,0.152305043347531,0.224604903701206,0
LOC105375537,NA,human-specific,NA,NA,NA,NA,NA,0.098221923716678,0.294665771150034,0,0
LOC105375539,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375539_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375541,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375542,NA,human-specific,NA,NA,NA,NA,NA,0.06338474224750833,0,0.190154226742525,0
LOC105375542_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375544,NA,human-specific,NA,NA,NA,NA,NA,0.07070434751345267,0.107881408351428,0.092804353689081,0.011427280499849
LOC105375546,NA,human-specific,NA,NA,NA,NA,NA,0.2662627699670233,0.459773401633565,0.339014908267505,0
LOC105375547,NA,human-specific,NA,NA,NA,NA,NA,0.008857322529145733,0.0265719675874372,0,0
LOC105375547_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375548,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375549,NA,human-specific,NA,NA,NA,NA,NA,0.0093852934556943,0.0172149647469705,0,0.0109409156201124
LOC105375549_1,NA,human-specific,NA,NA,NA,NA,NA,0.07161147156094494,0.0345130768382612,0.11451731204005,0.0658040258045236
LOC105375552,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375553,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375554,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375556,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375557,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375559,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375566,NA,human-specific,NA,NA,NA,NA,NA,0.44417710862201715,1.06881034951984,0.232844658667016,0.0308763176791953
LOC105375567,NA,human-specific,NA,NA,NA,NA,NA,0.0983428936117988,0.116822533248855,0.0957103850921732,0.0824957624943682
LOC105375570,NA,human-specific,NA,NA,NA,NA,NA,0.095673907285534,0.287021721856602,0,0
LOC105375571,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375577,NA,human-specific,NA,NA,NA,NA,NA,0.249144208920151,0.163018515978441,0.480808215907906,0.103605894874106
LOC105375578,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375579,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375580,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375581,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375582,NA,human-specific,NA,NA,NA,NA,NA,0.153295923217383,0,0,0.459887769652149
LOC105375584,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375587,NA,human-specific,NA,NA,NA,NA,NA,0.9574565411703017,1.64438768733854,1.12416551369882,0.103816422473545
LOC105375588,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375589,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375592,NA,human-specific,NA,NA,NA,NA,NA,1.0441304861650467,0.72926746818778,1.16218402915133,1.24093996115603
LOC105375593,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375594,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375597,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375599,NA,human-specific,NA,NA,NA,NA,NA,0.516742946316232,0.312947954031606,1.03838781665512,0.19889306826197
LOC105375601,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375602,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375603,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375604,NA,human-specific,NA,NA,NA,NA,NA,0.02478974831010693,0.0743692449303208,0,0
LOC105375605,NA,human-specific,NA,NA,NA,NA,NA,0.016892777660492502,0.0506783329814775,0,0
LOC105375607,NA,human-specific,NA,NA,NA,NA,NA,0.7622920454193652,0.57292476216922,0.985710384728791,0.728240989360085
LOC105375610,NA,human-specific,NA,NA,NA,NA,NA,0.06335270153878807,0.138862735877992,0.0511953687383722,0
LOC105375613,NA,human-specific,NA,NA,NA,NA,NA,3.6605161809796236,2.94412839157631,5.6985059580673,2.33891419329526
LOC105375614,NA,human-specific,NA,NA,NA,NA,NA,0.5977908438657646,0.652901569071015,0.802363964364081,0.338106998162198
LOC105375615,NA,human-specific,NA,NA,NA,NA,NA,0.36501703339230795,0.424774138398249,0.292327584374655,0.37794937740402
LOC105375623,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375626,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375628,NA,human-specific,NA,NA,NA,NA,NA,0.09642331378417433,0.166500464863417,0.122769476489106,0
LOC105375629,NA,human-specific,NA,NA,NA,NA,NA,0.17108196414570265,0.313806914564172,0,0.199438977872936
LOC105375630,NA,human-specific,NA,NA,NA,NA,NA,0.04773788138119663,0.103073449180555,0.0103638313395076,0.0297763636235273
LOC105375631,NA,human-specific,NA,NA,NA,NA,NA,0.277459735400998,0.418210325200081,0.334245343135842,0.0799235378670711
LOC105375633,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375634,NA,human-specific,NA,NA,NA,NA,NA,0.11215226068663291,0.164304018315363,0.0978518599918698,0.0743009037526659
LOC105375635,NA,human-specific,NA,NA,NA,NA,NA,0.06146791355172767,0.184403740655183,0,0
LOC105375637,NA,human-specific,NA,NA,NA,NA,NA,0.07625914161270057,0.156951322888334,0.0385761320267783,0.0332499699229894
LOC105375638,NA,human-specific,NA,NA,NA,NA,NA,0.09302711082686199,0.279081332480586,0,0
LOC105375639,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375641,NA,human-specific,NA,NA,NA,NA,NA,0.11719720581458,0,0,0.35159161744374
LOC105375642,NA,human-specific,NA,NA,NA,NA,NA,0.09617054166709234,0.11658428199138,0.171927343009897,0
LOC105375643,NA,human-specific,NA,NA,NA,NA,NA,0.036440455168024,0,0,0.109321365504072
LOC105375644,NA,human-specific,NA,NA,NA,NA,NA,0.029394121199449664,0,0,0.088182363598349
LOC105375647,NA,human-specific,NA,NA,NA,NA,NA,0.04517776376698066,0,0.135533291300942,0
LOC105375648,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375652,NA,human-specific,NA,NA,NA,NA,NA,1.5104360308958134,3.31072352913745,1.22058456354999,0
LOC105375653,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375655,NA,human-specific,NA,NA,NA,NA,NA,0.423855504126436,0.605685343927971,0.483540516035483,0.182340652415854
LOC105375657,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375659,NA,human-specific,NA,NA,NA,NA,NA,1.1386400194198476,2.2404397469151,0.700845546703448,0.474634764640995
LOC105375669,NA,human-specific,NA,NA,NA,NA,NA,2.0080427734761,2.4740727062569,1.82426284030083,1.72579277387057
LOC105375670,NA,human-specific,NA,NA,NA,NA,NA,0.018884791037004068,0,0.0566543731110122,0
LOC105375671,NA,human-specific,NA,NA,NA,NA,NA,0.06173343369665934,0.185200301089978,0,0
LOC105375672,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375676,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375683,NA,human-specific,NA,NA,NA,NA,NA,0.03572106236829933,0,0.107163187104898,0
LOC105375684,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375685,NA,human-specific,NA,NA,NA,NA,NA,0.0262622140776281,0,0.0787866422328843,0
LOC105375686,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375688,NA,human-specific,NA,NA,NA,NA,NA,2.541655364180602,6.154143976411,1.21007235199789,0.260749764132917
LOC105375689,NA,human-specific,NA,NA,NA,NA,NA,0.305696040658324,0.917088121974972,0,0
LOC105375690,NA,human-specific,NA,NA,NA,NA,NA,0.270881141938875,0.269492895271788,0.325163727729718,0.217986802815119
LOC105375691,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375692,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375693,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375694,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375696,NA,human-specific,NA,NA,NA,NA,NA,0.5529620431036123,0.866138781865252,0.425766197925183,0.366981149520402
LOC105375701,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375703,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375704,NA,human-specific,NA,NA,NA,NA,NA,0.0315429354759702,0,0.0412704180103718,0.0533583884175388
LOC105375705,NA,human-specific,NA,NA,NA,NA,NA,0.050042884025509334,0,0,0.150128652076528
LOC105375707,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375709,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375710,NA,human-specific,NA,NA,NA,NA,NA,0.006905746778658,0,0,0.020717240335974
LOC105375711,NA,human-specific,NA,NA,NA,NA,NA,0.335594376440077,0.367228006015674,0.406164542132053,0.233390581172504
LOC105375712,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375713,NA,human-specific,NA,NA,NA,NA,NA,1.2270037387331953,1.97719302025308,0.844040150862604,0.859778045083902
LOC105375715,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375716,NA,human-specific,NA,NA,NA,NA,NA,0.04576265889386261,0.041274483467947,0.0304338293101755,0.0655796639034653
LOC105375717,NA,human-specific,NA,NA,NA,NA,NA,0.229691925596885,0.359780724774797,0.176856728368922,0.152438323646936
LOC105375719,NA,human-specific,NA,NA,NA,NA,NA,0.3849457875879833,0.664711158175658,0.490126204588292,0
LOC105375721,NA,human-specific,NA,NA,NA,NA,NA,0.279060697772388,0.275492509932541,0.391906910977183,0.16978267240744
LOC105375723,NA,human-specific,NA,NA,NA,NA,NA,0.18963386969476267,0.229886700816783,0.339014908267505,0
LOC105375724,NA,human-specific,NA,NA,NA,NA,NA,2.6262890844335534,3.25947122317919,2.91618996292213,1.70320606719934
LOC105375725,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375727,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375728,NA,human-specific,NA,NA,NA,NA,NA,0.0487472789262526,0.0280129824909049,0.0826217319724137,0.0356071223154392
LOC105375730,NA,human-specific,NA,NA,NA,NA,NA,0.4195787173150314,0.209268430517779,0.617218112428453,0.432249608998862
LOC105375731,NA,human-specific,NA,NA,NA,NA,NA,0.027229233588238432,0,0.081687700764715293,0
LOC105375733,NA,human-specific,NA,NA,NA,NA,NA,0.052541506988149335,0.157624520964448,0,0
LOC105375738,NA,human-specific,NA,NA,NA,NA,NA,0.053081781505985935,0.0916597962636664,0.0675855482542914,0
LOC105375739,NA,human-specific,NA,NA,NA,NA,NA,0.06820526471617,0,0.20461579414851,0
LOC105375740,NA,human-specific,NA,NA,NA,NA,NA,1.5952928903164534,2.09329924405589,1.65783194517613,1.03474748171734
LOC105375741,NA,human-specific,NA,NA,NA,NA,NA,0.10613609515549376,0.147925944918907,0.0242385587087942,0.14624378183878
LOC105375742,NA,human-specific,NA,NA,NA,NA,NA,0.10964472928899734,0,0.208897402175847,0.120036785691145
LOC105375743,NA,human-specific,NA,NA,NA,NA,NA,0.16061248927516955,0.411260141029544,0.0379054438800297,0.032671882915935
LOC105375747,NA,human-specific,NA,NA,NA,NA,NA,0.10782535578680834,0.130713017385152,0.192763049975273,0
LOC105375750,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375751,NA,human-specific,NA,NA,NA,NA,NA,4.280789791018424,3.72381030335436,5.17413291556323,3.94442615413768
LOC105375753,NA,human-specific,NA,NA,NA,NA,NA,8.498020187740913,6.93547892243573,10.3440054317614,8.21457620902561
LOC105375754,NA,human-specific,NA,NA,NA,NA,NA,0.02748362712025043,0.0152008047163021,0.0672500766444492,0
LOC105375758,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375759,NA,human-specific,NA,NA,NA,NA,NA,0.05076834778251033,0.152305043347531,0,0
LOC105375760,NA,human-specific,NA,NA,NA,NA,NA,0.0738537519510466,0.0656065335919357,0.0725626783380524,0.0833920439231517
LOC105375761,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375762,NA,human-specific,NA,NA,NA,NA,NA,0.13908797956960234,0.417263938708807,0,0
LOC105375763,NA,human-specific,NA,NA,NA,NA,NA,0.24733867813504565,0.171839157123567,0.57017687728157,0
LOC105375765,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375767,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375768,NA,human-specific,NA,NA,NA,NA,NA,0.15975141724410266,0.150105451911877,0.138350722958183,0.190798076862248
LOC105375769,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375771,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375772,NA,human-specific,NA,NA,NA,NA,NA,0.016081415457914198,0,0,0.0482442463737426
LOC105375775,NA,human-specific,NA,NA,NA,NA,NA,0.6236551742455576,0.959862754529775,0.707756870058466,0.20334589814843201
LOC105375776,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375779,NA,human-specific,NA,NA,NA,NA,NA,1.1613061185892748,1.57113546477883,1.33670783069534,0.576075060293654
LOC105375781,NA,human-specific,NA,NA,NA,NA,NA,1.4930739702748204,1.12579088933908,0.968455060707281,2.3849759607781
LOC105375782,NA,human-specific,NA,NA,NA,NA,NA,0.10843523379743959,0.108130818921387,0.0797304922974648,0.137444390173467
LOC105375783,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375784,NA,human-specific,NA,NA,NA,NA,NA,0.26416658407910915,0.424643916400863,0.290746956170699,0.0771088796657653
LOC105375785,NA,human-specific,NA,NA,NA,NA,NA,0.9367560931637814,1.32345757157228,1.13471429274748,0.352096415171584
LOC105375789,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375789_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375791,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375791_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375792,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375794,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375798,NA,human-specific,NA,NA,NA,NA,NA,0.28484073927437664,0,0.635440003938589,0.219082213884541
LOC105375798_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375799,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375799_1,NA,human-specific,NA,NA,NA,NA,NA,0.0330625561614266,0.0991876684842798,0,0
LOC105375800,NA,human-specific,NA,NA,NA,NA,NA,0.05397660756335134,0,0.0869687488196556,0.0749610738703984
LOC105375800_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375805,NA,human-specific,NA,NA,NA,NA,NA,0.9091124994906363,1.16256179143541,1.11698030273264,0.447795404303859
LOC105375809,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375811,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375812,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375813,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375814,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375815,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375816,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375817,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375818,NA,human-specific,NA,NA,NA,NA,NA,1.8724683442745809,2.86542153399031,1.79590103034607,0.956082468487362
LOC105375820,NA,human-specific,NA,NA,NA,NA,NA,0.03988049813668467,0,0,0.119641494410054
LOC105375821,NA,human-specific,NA,NA,NA,NA,NA,0.053345613664713,0.160036840994139,0,0
LOC105375825,NA,human-specific,NA,NA,NA,NA,NA,0.027883934829152315,0.0441145926197607,0.0325279899122262,0.00700922195547005
LOC105375826,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375828,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375829,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375830,NA,human-specific,NA,NA,NA,NA,NA,0.023776920027827067,0,0,0.0713307600834812
LOC105375831,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375833,NA,human-specific,NA,NA,NA,NA,NA,0.24487197690973814,0.489055547935323,0.0901515404827323,0.155408842311159
LOC105375835,NA,human-specific,NA,NA,NA,NA,NA,0.08055094516053526,0.186845560217999,0,0.0548072752636068
LOC105375836,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375840,NA,human-specific,NA,NA,NA,NA,NA,0.04079163876172153,0.0345478402113859,0,0.0878270760737787
LOC105375841,NA,human-specific,NA,NA,NA,NA,NA,0.013090327203289766,0,0.0392709816098693,0
LOC105375842,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375844,NA,human-specific,NA,NA,NA,NA,NA,0.310655905699044,0,0.723965042655225,0.208002674441907
LOC105375845,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375846,NA,human-specific,NA,NA,NA,NA,NA,0.12973364726772754,0.161882168495582,0.156091601316021,0.0712271719915796
LOC105375849,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375850,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375851,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375852,NA,human-specific,NA,NA,NA,NA,NA,0.009647141211502867,0,0,0.0289414236345086
LOC105375855,NA,human-specific,NA,NA,NA,NA,NA,0.014867666646362234,0.0256729758696587,0.018930024069428,0
LOC105375856,NA,human-specific,NA,NA,NA,NA,NA,0.30081017702037366,0.438233761863679,0,0.464196769197442
LOC105375858,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375859,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375860,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375861,NA,human-specific,NA,NA,NA,NA,NA,0.012553950864726932,0,0,0.0376618525941808
LOC105375863,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375864,NA,human-specific,NA,NA,NA,NA,NA,0.03858211503548087,0.0806373475064393,0.0222967957183107,0.0128122018816926
LOC105375870,NA,human-specific,NA,NA,NA,NA,NA,0.08558559149085367,0,0.1378981033629,0.118858671109661
LOC105375871,NA,human-specific,NA,NA,NA,NA,NA,0.0064476832396917,0.0193430497190751,0,0
LOC105375873,NA,human-specific,NA,NA,NA,NA,NA,0.015496637350953335,0,0.04648991205286,0
LOC105375874,NA,human-specific,NA,NA,NA,NA,NA,0.054275233331336666,0,0.0874499037232221,0.0753757962707879
LOC105375875,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375876,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375877,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375878,NA,human-specific,NA,NA,NA,NA,NA,0.08914106288109201,0.108062683559748,0.159360505083528,0
LOC105375879,NA,human-specific,NA,NA,NA,NA,NA,0.37470863007723604,0.537042209214989,0.131996410003945,0.455087271012774
LOC105375880,NA,human-specific,NA,NA,NA,NA,NA,0.30488548877649296,0.369602325020086,0.545054141309393,0
LOC105375881,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375883,NA,human-specific,NA,NA,NA,NA,NA,0.08662471015133866,0,0.139572362896004,0.120301767558012
LOC105375884,NA,human-specific,NA,NA,NA,NA,NA,0.22922643763404674,0.268241103455662,0.362611618514487,0.0568265909319913
LOC105375885,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375886,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375888,NA,human-specific,NA,NA,NA,NA,NA,0.2735978325005503,0.472439335562865,0.348354161938786,0
LOC105375889,NA,human-specific,NA,NA,NA,NA,NA,0.22774963985301433,0.683248919559043,0,0
LOC105375890,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375892,NA,human-specific,NA,NA,NA,NA,NA,0.023622323668738468,0,0,0.0708669710062154
LOC105375894,NA,human-specific,NA,NA,NA,NA,NA,0.23497359831159734,0.240789283819638,0.282759236281982,0.181372274833172
LOC105375897,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375899,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375901,NA,human-specific,NA,NA,NA,NA,NA,0.0200649910856815,0.0601949732570445,0,0
LOC105375903,NA,human-specific,NA,NA,NA,NA,NA,0.10123700047775668,0.30371100143327,0,0
LOC105375905,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375906,NA,human-specific,NA,NA,NA,NA,NA,0.023899484013245733,0,0.0263223482064486,0.0453761038332886
LOC105375909,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375911,NA,human-specific,NA,NA,NA,NA,NA,0.05368228550235817,0.0311526755330281,0.0803967234774255,0.0494974574966209
LOC105375912,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375913,NA,human-specific,NA,NA,NA,NA,NA,0.24266179915275213,0.462925764750094,0.215043765302005,0.0500158674061574
LOC105375915,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
LOC105375916,NA,human-specific,NA,NA,NA,NA,NA,0.13213433728712567,0,0.396403011861377,0
